latin_species,n
Chloris chloris,1
Chloris sinica,2
Chloroceryle aenea,1
Chloroceryle amazona,1
Chloroceryle americana,3
Chlorocichla flaviventris,1
Chlorophanes spiza,1
Chlorophoneus sulfureopectus,1
Chlorophoneus viridis,1
Chlorophonia occipitalis,1
Chloropsis aurifrons,1
Chloropsis cochinchinensis,1
Chloropsis hardwickii,1
Chlorospingus ophthalmicus,1
Chlorostilbon canivetii,1
Chmaea fasciata,1
Chondestes grammacus,3
Chondrohierax uncinatus,2
Chonorohierax uncinatus,1
Chordeiles acutipennis,3
Chordeiles gundlachii,2
Chordeiles minor,4
Chroicocephalus genei,1
Chroicocephalus philadelphia,4
Chroicocephalus ridibundus,6
Chroicocephalus saundersi,1
Chrysococcyx basalis,2
Chrysococcyx caprius,1
Chrysococcyx klaas,1
Chrysococcyx lucidus,2
Chrysococcyx minutillus,2
Chrysococcyx osculans,2
Chrysococcyx russatus,2
Chrysolophus amherstiae,1
Chrysolophus pictus,3
Chthonicola saittata,1
Ciccaba nigrolineata,1
Ciccaba virgata,1
Ciconia ciconia,6
Ciconia nigra,3
Cincloramphus cruralis,1
Cincloramphus mathewsi,1
Cinclorhamphus cruralis,1
Cinclorhamphus mathewsi,1
Cinclosoma castaneothorax,2
Cinclosoma castaneothorax marginatum,1
Cinclosoma castanotum,1
Cinclosoma castanotus,1
Cinclosoma cinnamomeum,2
Cinclosoma cinnamomeum alisteri,1
Cinclosoma punctatum,2
Cinclus cinclus,8
Cinclus mexicanus,3
Cinnyricinclus leucogaster,1
Circaetus gallicus,2
Circus aeruginosus,6
Circus approximans,2
Circus assimilis,1
Circus cyaneus,7
Circus cyaneus hudsonius,1
Circus hudsonius,1
Circus macrourus,1
Circus pygargus,5
Circus spilonotus,1
Cisticola aberrans,1
Cisticola aridulus,1
Cisticola chiniana,1
Cisticola erythrops,1
Cisticola exilis,2
Cisticola fulvicapilla,1
Cisticola galactotes,1
Cisticola juncidis,4
Cisticola juncidus,1
Cisticola natalensis,1
Cistothorus palustris,3
Cistothorus platensis,3
Cladorhynchus leucocephalus,2
Clamator glandarius,3
Clangula hyemalis,8
Claravis mondetoura,1
Claravis pretiosa,1
Climacteris affinis,2
Climacteris erythrops,2
Climacteris melanura,2
Climacteris picumnus,2
Climacteris rufa,2
Coccothraustes coccothraustes,9
Coccothraustes vespertinus,3
Coccyus americanus,1
Coccyzus americanus,4
Coccyzus eryhropthalmus,1
Coccyzus erythropthalmus,3
Coccyzus erytropthalmus,1
Coccyzus minor,4
Cochlearius cochlearius,1
Coereba flaveloa,1
Coereba flaveola,2
Colaptes auratus,3
Colaptes chrysoides,3
Colibri thalassinus,3
Colinus leucopogon,1
Colinus nigrogularis,1
Colinus virgianus,2
Colinus virginianus,2
Colius striatus,1
Collocalia esculenta,2
Collocalia vanikorensis,1
Collurcincla harmonica,1
Colluricincla boweri,2
Colluricincla harmonica,1
Colluricincla megarhyncha,2
Colluricincla woodwardi,2
Columba cayennensis,1
Columba flavirostris,1
Columba leucocephala,1
Columba leucomela,2
Columba livia,11
Columba livia domestica,2
Columba nigrirostris,1
Columba oenas,8
Columba palumbus,8
Columba speciosa,1
Columbina inca,3
Columbina minuta,1
Columbina passerina,4
Columbina talpacoti,3
Conopophila albogularis,2
Conopophila rufogularis,2
Conopophila whitei,2
Contopus caribaeus,2
Contopus cinereus,1
Contopus cooperi,3
Contopus pertinax,4
Contopus sordidulus,4
Contopus virens,4
Copsychus malabaricus,1
Copsychus saularis,1
Coracias benghalensis,1
Coracias garrulus,3
Coracina lineata,1
Coracina maxima,2
Coracina novaehollandiae,2
Coracina papuensis,2
Coracina pectoralis,1
Coracina tenuirosris,1
Coracina tenuirostris,1
Coragyps atratus,3
Corcorax melanorhamphos,2
Cormobates leucophaea,1
Cormobates leucophaeus,1
Corvinella melanoleuca,1
Corvus albus,1
Corvus bennetti,2
Corvus brachyrhynchos,3
